time,x,y,z,qw,qx,qy,qz
7469,0.220576,0.470011,-0.0715879,-0.0815373,-0.00110078,0.0057421,0.996644
7512,0.218714,0.4644,-0.0731338,0.0644228,0.0409112,-0.0512906,-0.995754
7562,0.223226,0.464663,-0.0769487,0.0179374,0.0421497,-0.0401603,-0.998133
7567,0.224251,0.461956,-0.0679565,0.0508925,0.0762694,-0.0967941,-0.991062
7592,0.219108,0.466927,-0.0693105,0.0767571,0.0420078,-0.0623659,-0.994201
7632,0.218622,0.464966,-0.0692788,0.0531382,0.0768744,-0.0991975,-0.99066
7677,0.225976,0.463751,-0.0747,0.0374687,0.0200406,-0.00834247,-0.999052
7709,0.22441,0.46445,-0.0752417,0.0397148,0.0305584,-0.020483,-0.998524
7727,0.213329,0.468705,-0.0714399,0.0675696,0.0531673,-0.0685096,-0.993929
7778,0.212085,0.466106,-0.0731091,0.0752106,0.0613801,-0.0926518,-0.990945
7821,0.220773,0.465324,-0.0734819,0.0698567,0.0145673,-0.0124966,-0.997363
7855,0.224301,0.465036,-0.0755566,-0.0499321,-0.00460278,-0.00129616,0.998732
7879,0.221366,0.462316,-0.0715813,0.0720367,0.0500906,-0.0593008,-0.994367
7906,0.221259,0.465955,-0.0704534,0.0857523,0.0411736,-0.0541487,-0.993982
7957,0.217927,0.469152,-0.0796965,-0.0420278,0.0499219,-0.0419855,0.996975
7998,0.234042,0.462813,-0.0757205,-0.0401124,-0.0035747,-0.0242906,0.998884
8045,0.211808,0.463779,-0.089449,-0.0616757,0.0983236,0.266146,0.956909
8265,0.0826366,0.454242,-0.124436,0.265514,0.842882,0.28255,0.373093
8265,0.187158,0.552635,-0.0343589,-0.641927,0.223569,-0.351423,-0.643762
8265,0.233044,0.453211,-0.06801,0.119903,0.00247245,0.168779,-0.978321
8318,0.220223,0.466054,-0.0728401,-0.0787024,0.00598948,0.00553194,0.996855
8319,0.220138,0.46526,-0.0695725,0.0795873,0.0342029,-0.0646771,-0.99413
8348,0.233116,0.459253,-0.0695676,0.0475074,0.0362187,-0.0334302,-0.997645
8504,0.228747,0.460306,-0.0706772,0.0540386,0.0284631,-0.0379868,-0.9974
8541,0.230905,0.458127,-0.0699326,0.055302,0.0503071,-0.0611889,-0.995313
8602,0.229515,0.458767,-0.0704263,0.072168,0.0385571,-0.0399999,-0.995834
8612,0.229323,0.464071,-0.0696143,-0.0608999,-0.00392834,0.012204,0.998052
8706,0.229047,0.462596,-0.0736621,-0.0477716,0.000272483,-0.00517192,0.998835
8756,0.228458,0.460805,-0.0727368,-0.0522537,-0.0101229,0.00781268,0.998542
8855,0.232817,0.459705,-0.0757895,0.0489757,0.0615412,-0.0344855,-0.996296
8933,0.182942,0.509575,-0.0771638,-0.0166508,0.362892,-0.496327,0.788462
9000,0.170832,0.493006,-0.0638772,-0.0933864,0.0960962,-0.0531999,-0.989543
9069,0.19773,0.502007,-0.0387986,0.18894,0.606066,-0.767065,-0.0926155
9289,0.0796682,0.502767,-0.105225,0.436669,0.763003,0.0909355,0.467823
9292,0.214771,0.474145,-0.0614299,-0.0424691,0.252866,-0.18437,0.948812
9329,0.207524,0.488309,-0.0383491,0.0181765,0.014872,0.359699,-0.932762
9493,0.0758806,0.50686,-0.0247285,-0.0382292,0.973203,-0.0964188,-0.205177
9494,0.184262,0.512399,-0.0750715,-0.0212143,0.362899,-0.505288,0.782636
9681,0.188258,0.500453,-0.115512,0.339392,0.0469533,0.254687,0.904281
9731,0.196761,0.532355,-0.0980024,0.401818,0.0441116,0.296783,0.865157
9787,0.157606,0.453659,-0.0974236,-0.122881,0.0926214,0.109421,0.982003
9793,0.223164,0.46327,-0.0681995,0.0687453,0.0516419,-0.0623034,-0.994337
10055,0.22869,0.466065,-0.0724294,-0.0515272,0.017878,-0.0361814,0.997846
10073,0.226475,0.461431,-0.0678867,0.0675943,0.0801489,-0.0883951,-0.990542
10076,0.228005,0.460478,-0.0648374,0.0687624,0.0549501,-0.079977,-0.992893
10077,0.230846,0.460694,-0.0652061,0.0679751,0.091054,-0.103335,-0.988125
10077,0.207599,0.558394,-0.0540537,-0.637971,0.204522,-0.226748,-0.706916
10077,0.174974,0.537505,-0.0663731,-0.459477,0.175008,-0.226984,-0.840662
10077,0.125121,0.455892,-0.102936,-0.19034,0.175437,0.0878225,0.961905
10312,0.166086,0.46868,-0.0789956,-0.0262323,0.211863,-0.239324,0.94717
10313,0.22057,0.465043,-0.0747134,-0.0637588,-0.0143177,0.0330256,0.997306
10313,0.224146,0.463403,-0.0719497,0.0615138,0.0285296,-0.0477142,-0.996547
10313,0.224102,0.463471,-0.0733022,-0.0577596,-0.0115802,0.0299667,0.997804
10313,0.223118,0.46288,-0.0751882,-0.0567833,-0.00818892,0.0204289,0.998134
10313,0.222673,0.465373,-0.0783345,-0.0450685,0.0255345,-0.0207832,0.998432
10313,0.219766,0.4653,-0.0752029,-0.0691612,-0.0116902,0.0285142,0.99712
11440,0.222892,0.464169,-0.0793413,-0.0424647,0.0201427,-0.0178483,0.998726
11441,0.222266,0.463353,-0.0769734,-0.0516321,0.0040944,0.00383672,0.998641
